customer_id,gross_revenue,qty_invoices,recency_days,qty_items,frequency,qty_returns,cluster
17850,5391.21,34.0,372.0,1733.0,17.0,40.0,7
13047,3232.59,9.0,56.0,1390.0,0.02830188679245283,35.0,7
12583,6705.38,15.0,2.0,5028.0,0.04032258064516129,50.0,2
13748,948.25,5.0,95.0,439.0,0.017921146953405017,0.0,8
15100,876.0,3.0,333.0,80.0,0.07317073170731707,22.0,6
15291,4623.3,14.0,25.0,2102.0,0.04011461318051576,29.0,2
14688,5630.87,21.0,7.0,3621.0,0.05722070844686648,399.0,2
17809,5411.91,12.0,16.0,2057.0,0.0335195530726257,41.0,2
15311,60767.9,91.0,0.0,38194.0,0.24331550802139038,474.0,2
16098,2005.63,7.0,87.0,613.0,0.024390243902439025,0.0,0
18074,489.6,1.0,373.0,190.0,1.0,0.0,5
17420,598.83,3.0,50.0,265.0,0.009259259259259259,0.0,3
16029,72882.09,62.0,38.0,40207.0,0.18452380952380953,8004.0,2
16250,389.44,2.0,261.0,208.0,0.017699115044247787,0.0,5
12431,6382.45,15.0,35.0,2899.0,0.04424778761061947,50.0,2
17511,91062.38,31.0,2.0,64549.0,0.08333333333333333,1535.0,2
17548,103.3,1.0,233.0,58.0,1.0,190.0,4
13705,711.86,3.0,7.0,363.0,0.008174386920980926,0.0,8
13747,79.6,1.0,373.0,8.0,1.0,0.0,1
13408,28117.04,62.0,1.0,16232.0,0.16621983914209115,104.0,2
13767,17220.36,37.0,2.0,7322.0,0.09946236559139784,64.0,2
17924,2962.5,7.0,11.0,1160.0,0.01928374655647383,19.0,7
13448,3539.37,6.0,16.0,1660.0,0.01675977653631285,22.0,7
15862,832.88,4.0,8.0,585.0,0.01092896174863388,0.0,0
15513,14758.220000000001,19.0,33.0,5709.0,0.05571847507331378,164.0,2
12791,177.60000000000002,1.0,373.0,96.0,1.0,0.0,6
16218,3084.68,7.0,29.0,2088.0,0.020289855072463767,11.0,2
14045,1659.75,4.0,109.0,535.0,0.01509433962264151,0.0,0
14307,2995.72,6.0,88.0,2058.0,0.02097902097902098,0.0,2
17908,243.28,1.0,373.0,173.0,1.0,0.0,5
17920,4192.2,17.0,4.0,2514.0,0.04594594594594595,0.0,2
12838,683.13,2.0,33.0,359.0,0.005865102639296188,0.0,8
13255,399.51,2.0,9.0,177.0,0.005479452054794521,3.0,5
16583,233.45,1.0,373.0,111.0,1.0,0.0,5
18085,689.95,2.0,330.0,265.0,0.045454545454545456,0.0,3
13758,3190.55,7.0,11.0,1844.0,0.01928374655647383,0.0,7
13694,65019.62,50.0,3.0,62812.0,0.1347708894878706,1504.0,2
15983,1475.02,4.0,22.0,892.0,0.011363636363636364,0.0,0
14849,7930.54,25.0,21.0,5694.0,0.0708215297450425,38.0,2
17968,277.35,1.0,373.0,160.0,1.0,0.0,5
16210,21076.3,17.0,1.0,7558.0,0.045576407506702415,0.0,2
17897,566.6,3.0,172.0,229.0,0.01485148514851485,6.0,5
17377,4100.92,20.0,23.0,2076.0,0.05698005698005698,1.0,2
16552,379.73,2.0,242.0,219.0,0.015151515151515152,0.0,5
17181,239.92000000000002,2.0,57.0,241.0,0.006309148264984227,0.0,5
17951,1008.5400000000001,3.0,39.0,616.0,0.008955223880597015,6.0,0
14729,313.49,1.0,373.0,197.0,1.0,0.0,5
12748,32305.32,206.0,0.0,25211.0,0.5508021390374331,1535.0,2
15012,423.04,2.0,53.0,231.0,0.006230529595015576,0.0,5
12868,1607.0600000000002,6.0,185.0,928.0,0.031746031746031744,0.0,7
17572,226.75000000000003,4.0,71.0,95.0,0.013201320132013201,0.0,6
14078,1049.37,6.0,101.0,310.0,0.02197802197802198,0.0,3
14001,2043.0800000000002,3.0,45.0,962.0,0.00911854103343465,0.0,0
12662,3543.78,11.0,0.0,2041.0,0.029411764705882353,18.0,2
15525,823.42,3.0,2.0,414.0,0.008064516129032258,2.0,8
14237,161.0,1.0,373.0,38.0,1.0,0.0,4
17905,800.24,4.0,71.0,407.0,0.013201320132013201,0.0,8
15485,2575.0,3.0,30.0,1306.0,0.00872093023255814,0.0,7
12433,13375.87,7.0,0.0,11071.0,0.01871657754010695,0.0,2
16955,518.67,4.0,184.0,266.0,0.021052631578947368,20.0,3
15350,115.65,1.0,373.0,51.0,1.0,0.0,4
15605,1198.23,5.0,36.0,441.0,0.014792899408284023,0.0,8
18144,2888.75,12.0,7.0,1343.0,0.0326975476839237,0.0,7
15922,369.5,1.0,373.0,138.0,1.0,2.0,5
14594,379.83,2.0,7.0,185.0,0.005449591280653951,0.0,5
15165,487.75,1.0,373.0,160.0,1.0,0.0,5
14911,140438.72,199.0,1.0,79963.0,0.5335120643431636,3332.0,2
16456,2158.37,5.0,99.0,1148.0,0.01818181818181818,0.0,7
17841,40959.72,124.0,1.0,22853.0,0.3324396782841823,203.0,2
19001,4951.37,1.0,373.0,1207.0,1.0,0.0,7
12472,6068.11,7.0,32.0,4120.0,0.020710059171597635,128.0,2
17346,2676.56,15.0,3.0,1657.0,0.04043126684636118,18.0,7
19010,2.9699999999999998,1.0,373.0,2.0,1.0,0.0,1
17643,101.55,1.0,373.0,71.0,1.0,0.0,4
19011,99.75,1.0,373.0,5.0,1.0,0.0,1
17873,1729.7800000000002,5.0,80.0,1046.0,0.017006802721088437,48.0,7
13093,7832.47,8.0,275.0,3961.0,0.08080808080808081,18.0,2
12921,16587.09,37.0,9.0,9526.0,0.10136986301369863,72.0,2
13468,5704.97,37.0,1.0,2589.0,0.09919571045576407,8.0,2
17760,287.59,2.0,21.0,239.0,0.0056657223796034,0.0,5
19012,6.7,1.0,373.0,2.0,1.0,0.0,1
16928,2839.65,17.0,80.0,2113.0,0.05782312925170068,20.0,2
16048,256.44,2.0,373.0,144.0,2.0,1.0,5
16274,337.75,1.0,373.0,153.0,1.0,0.0,5
14496,538.8100000000001,2.0,311.0,159.0,0.031746031746031744,0.0,5
14696,2078.95,7.0,4.0,1630.0,0.01891891891891892,4.0,7
16539,1388.81,4.0,2.0,477.0,0.010752688172043012,0.0,8
17025,357.77,3.0,60.0,235.0,0.009554140127388535,0.0,5
13777,25977.16,33.0,0.0,12897.0,0.08823529411764706,90.0,2
17690,4757.95,15.0,30.0,1773.0,0.0436046511627907,6.0,7
12947,1603.99,6.0,143.0,1165.0,0.025974025974025976,8.0,7
17460,622.4300000000001,6.0,94.0,236.0,0.02142857142857143,60.0,5
18229,7276.900000000001,20.0,11.0,2488.0,0.05509641873278237,0.0,2
14142,311.81,1.0,373.0,313.0,1.0,0.0,3
17069,2709.7000000000003,9.0,28.0,1506.0,0.02601156069364162,24.0,7
13065,205.86,1.0,373.0,74.0,1.0,0.0,6
14606,12021.65,91.0,1.0,6215.0,0.24396782841823056,245.0,2
19014,6308.16,1.0,373.0,1477.0,1.0,0.0,7
16835,180.85,2.0,128.0,61.0,0.008130081300813009,0.0,4
15235,2247.51,12.0,217.0,1324.0,0.07643312101910828,0.0,7
13576,6717.34,18.0,10.0,2646.0,0.04945054945054945,6.0,2
19015,38.09,1.0,373.0,9.0,1.0,0.0,1
18011,102.78999999999999,1.0,373.0,71.0,1.0,0.0,4
13090,8895.82,13.0,8.0,2262.0,0.03561643835616438,69.0,2
15694,6464.4,13.0,0.0,1676.0,0.03485254691689008,12.0,7
14741,1400.34,6.0,11.0,841.0,0.016574585635359115,0.0,7
13715,1079.34,5.0,281.0,563.0,0.05434782608695652,8.0,0
14092,4076.91,14.0,7.0,2066.0,0.03977272727272727,5.0,2
17732,303.97,1.0,372.0,93.0,1.0,0.0,6
12855,38.1,1.0,372.0,30.0,1.0,0.0,4
15752,2637.38,7.0,39.0,1978.0,0.020958083832335328,5.0,7
17855,208.97,1.0,372.0,197.0,1.0,0.0,5
14047,1308.6100000000001,5.0,8.0,381.0,0.0136986301369863,4.0,8
17925,244.08,1.0,372.0,72.0,1.0,0.0,4
13941,5112.96,5.0,21.0,2364.0,0.014204545454545454,57.0,2
17017,8694.26,20.0,2.0,6673.0,0.05390835579514825,60.0,2
14135,4690.31,15.0,1.0,3850.0,0.04032258064516129,0.0,2
13108,350.06,1.0,372.0,298.0,1.0,0.0,3
12471,17424.05,27.0,2.0,8104.0,0.0743801652892562,246.0,2
15601,6776.56,14.0,11.0,4983.0,0.03867403314917127,5.0,2
13418,6127.43,18.0,11.0,3918.0,0.049723756906077346,79.0,2
14766,2473.37,6.0,8.0,1349.0,0.016713091922005572,26.0,7
15658,1024.1000000000001,5.0,190.0,242.0,0.0273224043715847,10.0,3
14388,3212.84,8.0,10.0,1941.0,0.02203856749311295,8.0,7
14901,1421.29,9.0,11.0,661.0,0.024861878453038673,2.0,0
18041,4183.39,21.0,11.0,3819.0,0.058011049723756904,9.0,2
15955,4416.26,14.0,24.0,2135.0,0.04011461318051576,11.0,2
15070,106.2,1.0,372.0,36.0,1.0,0.0,4
16244,1522.75,2.0,211.0,855.0,0.012345679012345678,0.0,0
15111,1567.48,3.0,29.0,710.0,0.00872093023255814,0.0,0
19016,45.85,1.0,372.0,11.0,1.0,0.0,1
14390,4652.82,9.0,10.0,2136.0,0.024793388429752067,11.0,2
16546,787.15,2.0,290.0,549.0,0.024096385542168676,852.0,0
15260,1810.77,7.0,100.0,885.0,0.02564102564102564,24.0,7
13305,2000.86,10.0,4.0,1232.0,0.02710027100271003,0.0,7
14491,340.93,2.0,175.0,139.0,0.010101010101010102,0.0,5
14060,6140.42,19.0,4.0,5386.0,0.051490514905149054,12.0,2
15923,127.08,1.0,372.0,122.0,1.0,0.0,5
16752,207.5,1.0,372.0,54.0,1.0,0.0,4
17287,1064.11,7.0,26.0,559.0,0.020172910662824207,0.0,0
15363,326.0,1.0,372.0,144.0,1.0,1.0,5
12915,363.65,2.0,148.0,93.0,0.008888888888888889,0.0,6
15544,3546.71,9.0,9.0,3109.0,0.024725274725274724,4.0,2
15738,4812.42,16.0,18.0,2982.0,0.04507042253521127,15.0,2
16042,1197.27,5.0,22.0,755.0,0.01607717041800643,10.0,7
17381,20275.61,29.0,8.0,25649.0,0.07945205479452055,3.0,2
15827,1836.0900000000001,14.0,73.0,882.0,0.04666666666666667,39.0,7
