customer_id,gross_revenue,recency_days,qty_products,frequency,qty_returns,cluster
17850,5391.21,372.0,297.0,17.0,40.0,5
13047,3232.59,56.0,171.0,0.02830188679245283,35.0,4
12583,6705.38,2.0,232.0,0.04032258064516129,50.0,2
13748,948.25,95.0,28.0,0.017921146953405017,0.0,4
15100,876.0,333.0,3.0,0.07317073170731707,22.0,5
15291,4623.3,25.0,102.0,0.04011461318051576,29.0,2
14688,5630.87,7.0,327.0,0.05722070844686648,399.0,2
17809,5411.91,16.0,61.0,0.0335195530726257,41.0,2
15311,60767.9,0.0,2379.0,0.24331550802139038,474.0,1
16098,2005.63,87.0,67.0,0.024390243902439025,0.0,4
18074,489.6,373.0,13.0,1.0,0.0,5
17420,598.83,50.0,30.0,0.009259259259259259,0.0,4
16029,72882.09,38.0,241.0,0.18452380952380953,8004.0,2
16250,389.44,261.0,24.0,0.017699115044247787,0.0,0
12431,6382.45,35.0,233.0,0.04424778761061947,50.0,2
17511,91062.38,2.0,963.0,0.08333333333333333,1535.0,1
17548,103.3,233.0,5.0,1.0,190.0,0
13705,711.86,7.0,28.0,0.008174386920980926,0.0,2
13747,79.6,373.0,1.0,1.0,0.0,5
13408,28117.04,1.0,478.0,0.16621983914209115,104.0,2
13767,17220.36,2.0,368.0,0.09946236559139784,64.0,2
17924,2962.5,11.0,31.0,0.01928374655647383,19.0,2
13448,3539.37,16.0,195.0,0.01675977653631285,22.0,2
15862,832.88,8.0,147.0,0.01092896174863388,0.0,2
15513,14758.220000000001,33.0,308.0,0.05571847507331378,164.0,2
12791,177.60000000000002,373.0,1.0,1.0,0.0,5
16218,3084.68,29.0,84.0,0.020289855072463767,11.0,2
14045,1659.75,109.0,6.0,0.01509433962264151,0.0,6
14307,2995.72,88.0,180.0,0.02097902097902098,0.0,4
17908,243.28,373.0,58.0,1.0,0.0,5
17920,4192.2,4.0,695.0,0.04594594594594595,0.0,2
12838,683.13,33.0,123.0,0.005865102639296188,0.0,2
13255,399.51,9.0,13.0,0.005479452054794521,3.0,2
16583,233.45,373.0,14.0,1.0,0.0,5
18085,689.95,330.0,29.0,0.045454545454545456,0.0,5
13758,3190.55,11.0,117.0,0.01928374655647383,0.0,2
13694,65019.62,3.0,567.0,0.1347708894878706,1504.0,2
15983,1475.02,22.0,113.0,0.011363636363636364,0.0,2
14849,7930.54,21.0,388.0,0.0708215297450425,38.0,2
17968,277.35,373.0,85.0,1.0,0.0,5
16210,21076.3,1.0,122.0,0.045576407506702415,0.0,2
17897,566.6,172.0,114.0,0.01485148514851485,6.0,3
17377,4100.92,23.0,418.0,0.05698005698005698,1.0,2
16552,379.73,242.0,17.0,0.015151515151515152,0.0,0
17181,239.92000000000002,57.0,23.0,0.006309148264984227,0.0,4
17951,1008.5400000000001,39.0,20.0,0.008955223880597015,6.0,2
14729,313.49,373.0,71.0,1.0,0.0,5
12748,32305.32,0.0,4577.0,0.5508021390374331,1535.0,1
15012,423.04,53.0,128.0,0.006230529595015576,0.0,4
12868,1607.0600000000002,185.0,107.0,0.031746031746031744,0.0,3
17572,226.75000000000003,71.0,12.0,0.013201320132013201,0.0,4
14078,1049.37,101.0,65.0,0.02197802197802198,0.0,6
14001,2043.0800000000002,45.0,39.0,0.00911854103343465,0.0,4
12662,3543.78,0.0,220.0,0.029411764705882353,18.0,2
15525,823.42,2.0,177.0,0.008064516129032258,2.0,2
14237,161.0,373.0,9.0,1.0,0.0,5
17905,800.24,71.0,34.0,0.013201320132013201,0.0,4
15485,2575.0,30.0,86.0,0.00872093023255814,0.0,2
12433,13375.87,0.0,420.0,0.01871657754010695,0.0,2
16955,518.67,184.0,25.0,0.021052631578947368,20.0,3
15350,115.65,373.0,5.0,1.0,0.0,5
15605,1198.23,36.0,67.0,0.014792899408284023,0.0,2
18144,2888.75,7.0,43.0,0.0326975476839237,0.0,2
15922,369.5,373.0,11.0,1.0,2.0,5
14594,379.83,7.0,53.0,0.005449591280653951,0.0,2
15165,487.75,373.0,27.0,1.0,0.0,5
14911,140438.72,1.0,5670.0,0.5335120643431636,3332.0,1
16456,2158.37,99.0,111.0,0.01818181818181818,0.0,6
17841,40959.72,1.0,7837.0,0.3324396782841823,203.0,1
19001,4951.37,373.0,526.0,1.0,0.0,5
12472,6068.11,32.0,332.0,0.020710059171597635,128.0,2
17346,2676.56,3.0,500.0,0.04043126684636118,18.0,2
19010,2.9699999999999998,373.0,2.0,1.0,0.0,5
17643,101.55,373.0,8.0,1.0,0.0,5
19011,99.75,373.0,1.0,1.0,0.0,5
17873,1729.7800000000002,80.0,43.0,0.017006802721088437,48.0,4
13093,7832.47,275.0,159.0,0.08080808080808081,18.0,0
12921,16587.09,9.0,720.0,0.10136986301369863,72.0,2
13468,5704.97,1.0,302.0,0.09919571045576407,8.0,2
17760,287.59,21.0,25.0,0.0056657223796034,0.0,2
19012,6.7,373.0,2.0,1.0,0.0,5
16928,2839.65,80.0,208.0,0.05782312925170068,20.0,4
16048,256.44,373.0,8.0,2.0,1.0,5
16274,337.75,373.0,65.0,1.0,0.0,5
14496,538.8100000000001,311.0,19.0,0.031746031746031744,0.0,5
14696,2078.95,4.0,130.0,0.01891891891891892,4.0,2
16539,1388.81,2.0,45.0,0.010752688172043012,0.0,2
17025,357.77,60.0,9.0,0.009554140127388535,0.0,4
13777,25977.16,0.0,197.0,0.08823529411764706,90.0,2
17690,4757.95,30.0,256.0,0.0436046511627907,6.0,2
12947,1603.99,143.0,97.0,0.025974025974025976,8.0,6
17460,622.4300000000001,94.0,29.0,0.02142857142857143,60.0,4
18229,7276.900000000001,11.0,164.0,0.05509641873278237,0.0,2
14142,311.81,373.0,22.0,1.0,0.0,5
17069,2709.7000000000003,28.0,143.0,0.02601156069364162,24.0,2
13065,205.86,373.0,14.0,1.0,0.0,5
14606,12021.65,1.0,2698.0,0.24396782841823056,245.0,2
19014,6308.16,373.0,591.0,1.0,0.0,5
16835,180.85,128.0,10.0,0.008130081300813009,0.0,6
15235,2247.51,217.0,143.0,0.07643312101910828,0.0,3
13576,6717.34,10.0,126.0,0.04945054945054945,6.0,2
19015,38.09,373.0,6.0,1.0,0.0,5
18011,102.78999999999999,373.0,28.0,1.0,0.0,5
13090,8895.82,8.0,154.0,0.03561643835616438,69.0,2
15694,6464.4,0.0,77.0,0.03485254691689008,12.0,2
14741,1400.34,11.0,59.0,0.016574585635359115,0.0,2
13715,1079.34,281.0,105.0,0.05434782608695652,8.0,0
14092,4076.91,7.0,214.0,0.03977272727272727,5.0,2
17732,303.97,372.0,18.0,1.0,0.0,5
12855,38.1,372.0,3.0,1.0,0.0,5
15752,2637.38,39.0,411.0,0.020958083832335328,5.0,2
17855,208.97,372.0,17.0,1.0,0.0,5
14047,1308.6100000000001,8.0,32.0,0.0136986301369863,4.0,2
17925,244.08,372.0,1.0,1.0,0.0,5
13941,5112.96,21.0,45.0,0.014204545454545454,57.0,2
17017,8694.26,2.0,252.0,0.05390835579514825,60.0,2
14135,4690.31,1.0,134.0,0.04032258064516129,0.0,2
13108,350.06,372.0,10.0,1.0,0.0,5
12471,17424.05,2.0,439.0,0.0743801652892562,246.0,2
15601,6776.56,11.0,410.0,0.03867403314917127,5.0,2
13418,6127.43,11.0,304.0,0.049723756906077346,79.0,2
14766,2473.37,8.0,135.0,0.016713091922005572,26.0,2
15658,1024.1000000000001,190.0,48.0,0.0273224043715847,10.0,3
14388,3212.84,10.0,186.0,0.02203856749311295,8.0,2
14901,1421.29,11.0,96.0,0.024861878453038673,2.0,2
18041,4183.39,11.0,472.0,0.058011049723756904,9.0,2
15955,4416.26,24.0,183.0,0.04011461318051576,11.0,2
15070,106.2,372.0,1.0,1.0,0.0,5
16244,1522.75,211.0,91.0,0.012345679012345678,0.0,3
15111,1567.48,29.0,84.0,0.00872093023255814,0.0,2
19016,45.85,372.0,11.0,1.0,0.0,5
14390,4652.82,10.0,286.0,0.024793388429752067,11.0,2
16546,787.15,290.0,25.0,0.024096385542168676,852.0,0
15260,1810.77,100.0,77.0,0.02564102564102564,24.0,6
13305,2000.86,4.0,81.0,0.02710027100271003,0.0,2
14491,340.93,175.0,17.0,0.010101010101010102,0.0,3
14060,6140.42,4.0,202.0,0.051490514905149054,12.0,2
15923,127.08,372.0,21.0,1.0,0.0,5
16752,207.5,372.0,9.0,1.0,0.0,5
17287,1064.11,26.0,124.0,0.020172910662824207,0.0,2
15363,326.0,372.0,16.0,1.0,1.0,5
12915,363.65,148.0,22.0,0.008888888888888889,0.0,6
